leagueNames,leagueUrls
belgiumJupiler,https://www.flashscore.com/football/belgium/jupiler-pro-league/standings/
engPremier,https://www.flashscore.com/football/england/premier-league/standings/
engChamp,https://www.flashscore.com/football/england/championship/standings/
franceLque,https://www.flashscore.com/football/france/ligue-1/standings/
germBundes,https://www.flashscore.com/football/germany/bundesliga/standings/
greeceSuper,https://www.flashscore.com/football/greece/super-league/standings/
ItalySerie,https://www.flashscore.com/football/italy/serie-a/standings/
nethEreD,https://www.flashscore.com/football/netherlands/eredivisie/standings/
portLiga,https://www.flashscore.com/football/portugal/liga-portugal/standings/
scotPrem,https://www.flashscore.com/football/scotland/premiership/standings/
spainLaLiga,https://www.flashscore.com/football/spain/laliga/standings/
turkeySuper,https://www.flashscore.com/football/turkey/super-lig/standings/
europeEuro,https://www.flashscore.com/football/europe/euro/standings/
europeChamp,https://www.flashscore.com/football/europe/champions-league/standings/
europeEuropa,https://www.flashscore.com/football/europe/europa-league/standings/
argLiga,https://www.flashscore.com/football/argentina/liga-profesional/standings/
ausBundes,https://www.flashscore.com/football/austria/bundesliga/standings/
chinaSuper,https://www.flashscore.com/football/china/super-league/standings/
germBundesTwo,https://www.flashscore.com/football/germany/2-bundesliga/standings/
souKoreaKLeague,https://www.flashscore.com/football/south-korea/k-league-1/standings/
japanJOneLeague,https://www.flashscore.com/football/japan/j1-league/standings/
